,rank,username,date,views,creator_club_status
0,1,shanthababu,2021-02-06,20629,1
1,2,fasih,2021-02-13,18271,1
2,3,noobmaster21,2021-02-08,17642,0
3,4,nivedita28,2021-02-10,17420,0
4,5,shrish7,2021-02-18,9769,1
5,6,shelvi31,2021-02-13,6708,0
6,7,Parthtyagi@IITD,2021-02-02,3713,0
7,8,priya603,2021-02-08,3610,1
8,9,niyut,2021-02-23,3348,0
9,10,iwasnothing,2021-02-26,3339,1
10,11,priyanka710,2021-02-09,3205,0
11,12,rajeshmore1,2021-02-22,3184,0
12,13,leks,2021-02-24,2963,0
13,14,prathima23,2021-02-21,2612,0
14,15,isha_sharma,2021-02-18,2610,0
15,16,hardik8,2021-02-13,2513,0
16,17,ananya19b,2021-02-17,2291,0
17,18,asha05,2021-02-20,2262,0
18,19,48saily,2021-02-25,2239,0
19,20,ayoub04,2021-02-18,2178,0
20,21,muhammadarnaldo,2021-02-18,2142,1
21,22,gaurav0979,2021-02-04,2011,0
22,23,ReyKissen,2021-02-24,1990,0
23,24,prayuktha,2021-02-22,1942,0
24,25,REDOC-ER,2021-02-12,1782,1
25,26,nilabhnishchhal,2021-02-19,1660,1
26,27,srinikethcr7,2021-02-07,1607,1
27,28,aishwarya_nair_319,2021-02-23,1585,0
28,29,gyan0,2021-02-02,1575,0
29,30,taknev83@gmail.com,2021-02-01,1326,0
30,31,priya603,2021-02-06,1318,1
31,32,aseem75,2021-02-17,1249,0
32,33,anchit13,2021-02-17,1223,0
33,34,astha_3021,2021-02-23,1209,0
34,35,barun33,2021-02-02,1200,0
35,36,aniket_wattamwar,2021-02-17,1084,0
36,37,prathamesh41,2021-02-10,975,0
37,38,ruhi-i,2021-02-13,922,1
38,39,sethneha,2021-02-24,803,1
39,40,sharan-babu2001,2021-02-04,629,1
40,41,shruti10,2021-02-18,620,0
41,42,balapriya,2021-02-24,545,0
42,43,manoj147,2021-02-22,399,0
43,44,thiyagarajan4,2021-02-24,392,0
44,45,archibaldechano,2021-02-22,280,0
